Alabama	AL	4.903 	131.171 	37.380 	64.194 	71.7% 
Alaska	AK	0.732 	1477.953 	0.495 	5.625 	1036.4% 
Arizona	AZ	7.279 	294.207 	24.740 	76.011 	207.2% 
Arkansas	AR	3.018 	134.771 	22.392 	40.781 	82.1% 
California	CA	39.512 	403.466 	97.932 	329.123 	236.1% 
Colorado	CO	5.759 	268.431 	21.453 	121.156 	464.7% 
Connecticut	CT	3.565 	12.542 	284.276 	371.439 	30.7% 
Delaware	DE	0.974 	5.047 	192.951 	259.754 	34.6% 
Florida	FL	21.478 	138.887 	154.641 	286.392 	85.2% 
Georgia	GA	10.617 	148.959 	71.277 	204.405 	186.8% 
Hawaii	HI	1.416 	16.635 	85.116 	250.577 	194.4% 
Idaho	ID	1.787 	214.045 	8.349 	35.138 	320.9% 
Illinois	IL	12.672 	143.793 	88.125 	410.564 	365.9% 
Indiana	IN	6.732 	92.789 	72.554 	138.052 	90.3% 
Iowa	IA	3.155 	144.669 	21.809 	43.676 	100.3% 
Kansas	KS	2.913 	211.754 	13.758 	64.891 	371.7% 
Kentucky	KY	4.468 	102.269 	43.685 	91.305 	109.0% 
Louisiana	LA	4.649 	111.898 	41.545 	97.165 	133.9% 
Maine	ME	1.344 	79.883 	16.827 	37.415 	122.3% 
Maryland	MD	6.046 	25.142 	240.465 	453.378 	88.5% 
Massachusetts	MA	6.893 	20.202 	341.178 	552.354 	61.9% 
Michigan	MI	9.987 	146.435 	68.200 	201.263 	195.1% 
Minnesota	MN	5.640 	206.232 	27.346 	128.880 	371.3% 
Mississippi	MS	2.976 	121.531 	24.489 	37.282 	52.2% 
Missouri	MO	6.137 	178.040 	34.472 	113.870 	230.3% 
Montana	MT	1.069 	376.962 	2.835 	6.875 	142.5% 
Nebraska	NE	1.934 	198.974 	9.722 	70.961 	629.9% 
Nevada	NV	3.080 	284.332 	10.833 	64.351 	494.0% 
New Hampshire	NH	1.360 	23.187 	58.640 	95.416 	62.7% 
New Jersey	NJ	8.882 	19.047 	466.322 	785.426 	68.4% 
New Mexico	NM	2.097 	314.161 	6.674 	24.910 	273.2% 
New York	NY	19.454 	122.057 	159.381 	1322.99 	730.1% 
North Carolina	NC	10.488 	125.920 	83.292 	150.632 	80.8% 
North Dakota	ND	0.762 	178.711 	4.264 	9.608 	125.3% 
Ohio	OH	11.689 	105.829 	110.453 	228.178 	106.6% 
Oklahoma	OK	3.957 	177.660 	22.273 	73.170 	228.5% 
Oregon	OR	4.218 	248.608 	16.965 	76.903 	353.3% 
Pennsylvania	PA	12.802 	115.883 	110.473 	275.998 	149.8% 
Rhode Island	RI	1.059 	2.678 	395.645 	455.294 	15.1% 
South Carolina	SC	5.149 	77.857 	66.131 	97.514 	47.5% 
South Dakota	SD	0.885 	196.350 	4.506 	12.533 	178.2% 
Tennessee	TN	6.829 	106.798 	63.945 	123.679 	93.4% 
Texas	TX	28.996 	676.587 	42.856 	245.431 	472.7% 
Utah	UT	3.206 	212.818 	15.064 	135.237 	797.7% 
Vermont	VT	0.624 	23.871 	26.140 	34.090 	30.4% 
Virginia	VA	8.536 	102.279 	83.453 	286.827 	243.7% 
Washington	WA	7.615 	172.119 	44.242 	129.547 	192.8% 
West Virginia	WV	1.792 	62.259 	28.785 	44.760 	55.5% 
Wisconsin	WI	5.822 	140.268 	41.509 	112.485 	171.0% 
Wyoming	WY	0.579 	251.470 	2.302 	3.270 	42.1% 
